priority_score,research_priority,token_label,token_address,first_buy_time_utc,first_buy_bucket,realized_pnl_bnb,narrative_tag,source_type_guess,source_status,source_score,time_advantage_score,onchain_score,risk_penalty,next_research_step
69,120,CZ 🔶 BNB,0x6114ea6cc28ae5cd5e4a404e562ce4747de94444,2026-04-03 07:11:14,0-50k,6.030390632162371,binance+founder_person,company/project/person,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,120,CS,0xca7ab98f4c43e5e92a8d2b8ef9b35c76a52a4444,2026-04-08 06:31:53,0-50k,3.334194938530835,binance+founder_person,company/project/person,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,120,Dinance,0x42a3404651eb9ce4fce649d4999329481eea4444,2026-05-07 08:02:44,0-50k,3.1172294546429073,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,120,FFAI,0x0e21e9555d415a551fb12aecb356160221294444,2026-03-22 06:14:58,0-50k,2.2040145846019374,ai_agent,category,待追踪,8,17,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
52,120,流金谷恩仇录,0x900ae9e048d9b0bdab2d4cf947c7c246a0824444,2026-03-18 00:50:44,0-50k,2.1018210587242714,ai_agent,category,待追踪,8,17,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
57,120,传统金融,0x97dda9801d38b1399200448b70442a4459a94444,2026-06-01 03:27:15,0-50k,1.7372475248804595,binance,company/project,待追踪,25,14,11,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
49,120,比比拉布,0xd730680f1dac564d4b289eb0dbbef7b23fda4444,2026-02-05 04:33:43,0-50k,1.7348545450582502,chinese_social_meme,meme/community,待追踪,8,14,20,-5,补 Douyin/B站/微博首发、热榜和音频复用量
69,120,BNB,0x9f391279cc2ab9e22768599fc7d0252644804444,2026-03-31 09:44:36,0-50k,1.582203924583333,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
66,120,CZ,0x2b057db87cac1e419f30358b0097d1280ba84444,2026-02-11 06:57:25,0-50k,1.4861102527861951,binance+founder_person,company/project/person,待追踪,25,14,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,120,AI gent,0x0566969ff0a59472a6693c758cf01cb98c684444,2026-03-03 17:09:16,0-50k,1.420405170892528,ai_agent,category,待追踪,8,17,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
69,120,TUWB,0x27b8d57c9e412757af6d7efabcbb637224f14444,2026-05-06 07:02:22,0-50k,1.2622526845011264,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,120,大象,0x2824b90ccfbcae7e10e6e0d9aa69e8c226814444,2026-03-09 02:08:58,0-50k,1.2457350526618125,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,120,月之暗面,0x444428e122c0fd4f7e642cf91d73dff53622366c,2026-04-27 03:13:36,0-50k,1.2251348605129628,ai_agent,category,待追踪,8,17,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
69,120,导师CZ,0xcbf231e7ba9ebd6b6ec6253fcbc2091fcf7b4444,2026-03-14 02:23:31,0-50k,1.219404449171865,binance+founder_person,company/project/person,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,120,BNB,0x491479c940b62171d46da6c74d93a6c245564444,2026-05-03 13:37:26,0-50k,1.2147218258214512,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
69,120,AI何一,0x9d48014610228d0d0c9e6f83bf9b641711854444,2026-04-01 07:08:43,0-50k,1.1731294332365427,binance+ai_agent+founder_person,company/project/category/person,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
52,120,BAI,0xc31e3e49d47ee3ad35993c8f887d0942aa7d4444,2026-03-11 10:00:17,0-50k,1.0900837032298007,ai_agent,category,待追踪,8,17,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
69,120,Meme candidates,0x7e4c5e2f76f74e95ff20959ee71433c3e6ec4444,2026-03-30 10:33:45,0-50k,1.0514699398937153,binance,company/project,待追踪,25,17,20,-5,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
49,120,神仝,0x478aebe7758c29e29ca71147a57e1063fc764444,2026-05-03 02:59:44,0-50k,1.0495097767897108,ai_agent,category,待追踪,8,14,20,-5,补项目官网、模型/agent 发布页、GitHub/产品库收录时间
