"case_id","token_label","token_name","token_address","first_buy_time_utc","first_buy_fdv_usd","realized_pnl_bnb","holding_window","source_entity","source_type","source_grade","source_event","source_time_utc_or_date","source_url","buy_vs_source_delta","relationship_to_project","bot_signal_meaning","verification_status","next_research_step"
"S001","CZ BNB","CZ 🔶 BNB","0x6114ea6cc28ae5cd5e4a404e562ce4747de94444","2026-04-03 07:11:14","10034.31","6.0304","3d-7d","CZ / Freedom of Money","person_founder","B","CZ在X与Binance Square预告自传Freedom of Money，4月8日正式发行；该叙事把CZ本人、Binance历史与BNB生态重新绑定。","2026-04-03 original post date pending exact UTC","https://ourcryptotalk.com/news/cz-memoir-freedom-of-money-release","同日买入，精确分钟差待补原帖","创始人强相关；token 名称直接取 CZ BNB 个人品牌。","创始人自叙事/书籍/公开长文发布前后，扫描0-50k FDV首批衍生token。","partial","补CZ原始X链接、Binance Square链接和发布时间。"
"S002","CS","CZ vs Star","0xca7ab98f4c43e5e92a8d2b8ef9b35c76a52a4444","2026-04-08 06:31:53","11253.53","3.3342","1d-3d","Star Xu / CZ","person_founder","B","CZ自传发布后，OKX创始人Star Xu在X上重提旧争议并与CZ公开交锋，后续发展到10亿美元赌约。","2026-04-08 X thread; 2026-04-10 broad press cycle","https://www.ccn.com/news/crypto/binance-founder-czs-memoir-revives-okx-founder-forgery-claim/","买入发生在4月8日争议初期，早于4月10日大面积媒体复盘。","两位交易所创始人强相关；token 名称直接捕捉CZ vs Star。","创始人互怼/争议升级是强传播源；如果买在第一轮X争议而非媒体复盘后，时间优势更大。","partial","补Star_OKX原帖、CZ回应帖和Four.meme部署时间。"
"S003","Dinance","Dick Binance","0x42a3404651eb9ce4fce649d4999329481eea4444","2026-05-07 08:02:44","6231.59","3.1172","5-30m","Binance official tweet","official_account","C","Bitget收录页将Dinance归因于2026-05-07 Binance官方推文触发的社区meme。","2026-05-07","https://www.bitgetapp.com/price/dick-binance/what-is","同日买入；具体与Binance推文的分钟差待补。","官方账号梗图/口误/玩笑强相关；token 名称是官方梗的直接变体。","官方账号短文本梗触发的token通常是5-30分钟窗口；要优先看首个池子、买卖比和是否被大号二次传播。","partial","补Binance原始推文URL、推文截图、token部署/开池时间。"
"S004","传统金融","Binance Trade Stock","0x97dda9801d38b1399200448b70442a4459a94444","2026-06-01 03:27:15","0.00","1.7372","5-30m","Binance bStocks / US stock trading","company_project","B","Binance在6月1日推出非美国用户美股/ETF交易，并预告bStocks把股票持仓代币化到BNB Chain；5月31日已有产品预期和BNB预热。","2026-05-31 teaser; 2026-06-01 announcement","https://www.theblock.co/post/403155/binance-adds-us-stocks-etfs-traders-outside-united-states-super-app-push","买入早于部分媒体正式报道，疑似吃到预热/内部功能曝光窗口。","Binance产品线强相关；token 名称直接对应Trade Stock主题。","公司产品发布+链上可代币化资产，是比纯meme更长的叙事窗口；第一天0-50k token可观察5-30分钟和1h-6h。","partial","补Binance官方support公告、Fortune采访、BNB Chain/bStocks官方文档。"
"S005","流金谷恩仇录","央视AI武侠短剧","0x900ae9e048d9b0bdab2d4cf947c7c246a0824444","2026-03-18 00:50:44","4978.21","2.1018","1h-6h","央视网AI奇谈 / 流金谷恩仇录","media_ip","B","央视网AI短片《流金谷恩仇录》以AI武侠寓言解释国际政治与能源叙事，报道显示上线后迅速破百万点赞。","2026-03-18 to 2026-03-19","https://cj.sina.com.cn/articles/view/3215951873/bfaf880104002jt80?froms=ggmp","同日或早期买入；与央视原视频发布时间需补秒级差。","内容IP强相关；token 名称和描述直接复用短片标题与央视AI短剧。","官媒/大平台内容IP爆火时，优先扫描标题同名token；可给1h-6h发酵窗口。","partial","补央视网/抖音原视频URL、发布时间、点赞量截图、开池时间。"
"S006","比比拉布","抖音新晋爆火热梗","0xd730680f1dac564d4b289eb0dbbef7b23fda4444","2026-02-05 04:33:43","9447.53","1.7349","7d+","howieazy音效 / 中文短视频二创","community_meme","D","后验资料显示比比拉布源自外网抽象音效，被中文互联网空耳重构后在B站、抖音、微博传播；链上页也标注为抖音热梗。","trend existed before 2026-02-05; post-hoc articles Apr 2026","https://k.sina.com.cn/article_7857201856_1d45362c001904p0wg.html","买入早于多数可检索文章；原始短视频热度曲线缺失。","社区热梗相关；不是项目官方，传播源分散。","中文短视频热梗需要抓Douyin/B站热榜与音频复用量，不能只靠网页搜索；持有窗口可明显更长。","partial","补Douyin/B站首热视频、音频ID、热榜进入时间、Four.meme创建描述。"
"S007","马维斯","马维斯Marvis","0x13762a21d45d102078269b0b0ac9a954104e4444","2026-05-17 05:15:55","5753.59","4.7826","3d-7d","Tencent Marvis","company_project","C","腾讯Marvis是应用宝团队推出的操作系统层级个人AI助手；公开资料显示5月中下旬内测/全量上线。交易员买入早于多数正式报道。","2026-05-19 to 2026-05-21 public reports","https://finance.sina.com.cn/jjxw/2026-05-21/doc-inhyrvzm6386190.shtml","买入早于正式报道约2-4天，疑似捕捉内测/泄露/小圈层传播。","公司项目强相关；token 名称直接复用腾讯产品名。","公司新AI产品内测到正式上线之间可能有提前量；监控官网、内测表单、产品库、媒体预告。","partial","补marvis.qq.com页面快照、内测申请页、最早产品库收录时间。"
"S008","月之暗面","Moonshot AI","0x444428e122c0fd4f7e642cf91d73dff53622366c","2026-04-27 03:13:36","13132.25","1.2251","30m-1h","Moonshot AI / Kimi K2.6","company_project","A","Moonshot AI官网列出2026-04-20 Kimi K2.6；这是公司级模型发布事件。","2026-04-20","https://www.moonshot.ai/","买入在官方发布后约7天，偏后验发酵而非首发。","公司/模型强相关；token 名称直接映射月之暗面。","公司级AI模型发布可形成多日发酵，但买入过晚需要更强成交量与leader确认。","verified_source_partial_token_causality","补Kimi K2.6官方技术页/模型卡URL、中文社媒传播峰值。"
"S009","FFAI","FFAI","0x0e21e9555d415a551fb12aecb356160221294444","2026-03-22 06:14:58","4685.28","2.2040","6h-24h","AI agent category / Trust Wallet Agent Kit as later amplifier","category","B","Trust Wallet在3月26日推出Agent Kit，让AI agent可在25+条链执行真实交易；该事件验证AI交易agent方向，但晚于本token买入。","2026-03-26","https://trustwallet.com/blog/announcements/introducing-the-trust-wallet-agent-kit-twak-your-ai-agent-can-now-act-on-crypto","source after buy；不能当作买入前源头，只能作为后续放大/类别验证。","类别相关，不是FFAI直接源头。","AI agent类要区分早期无名meme与后续官方基础设施催化；后者可延长持有窗口但不能证明原始来源。","verified_source_inferred_category","补FFAI名称来源、首个社媒提及和是否有对应项目/账号。"
"S010","Elon Musk","Elon Musk","0xd93dd2b5c167e977198c551bf2ce7c10f2704444","2026-03-21 11:17:05","35613.05","-0.5755","0-5m","No matched Musk source","person_name_only","E","本批次未找到与买入时间强匹配的马斯克原帖或项目事件；更像泛名人名token。","none","", "no source match","人物名弱相关；缺少原始事件。","没有原帖/事件的泛名人token默认降权或跳过，尤其FDV不低时。","unverified","补X高级搜索；若仍无源头，归入false-positive库。"
