module_id,module_name,trigger,inputs,outputs,score_fields,human_gate,automation_status
RADAR_SOURCE_DISCOVERY,源头发现,公司/创始人/项目/KOL/中文热梗/发币平台出现新叙事,"X/Twitter, official sites, GitHub, product pages, Douyin/Bilibili/微博, launch platforms","source_event_id, source_time_utc, source_url, source_grade, source_entity","source_quality_score,narrative_novelty_score",必须复核原始链接或截图；无源头的名人名 token 降权,radar_only
RADAR_FIRST_TOKEN_BATCH,第一批 token 捕捉,源头出现后监控 Four.meme/Pancake/launchpad 新 token,"token deploy, pool creation, first swaps, token name/symbol similarity","token_address, deploy_time_utc, pool_time_utc, first_trade_time_utc, narrative_match","time_advantage_score,source_match_score",同名不等于强相关；需要看部署时间和源头语义是否匹配,radar_only
RADAR_MARKET_WINDOW,FDV/流动性/成交窗口,首池形成和前几分钟成交出现,"FDV, pool BNB/USD liquidity, buy/sell count, volume, unique buyers","fdv_bucket, liquidity_bucket, trade_window, onchain_quality_score","onchain_quality_score,liquidity_execution_score",薄池、异常税、疑似貔貅、假流动性直接跳过,manual_confirm_only
RADAR_LEADER_COPYCAT,leader/copycat 判断,同一叙事短时间出现多个 token,"deploy order, first liquidity, first volume, holder growth, source semantic fit","leader_score, leader_or_copycat, competing_tokens","leader_score,risk_penalty",只把 leader_candidate 推人工确认；copycat 默认观察,manual_confirm_only
RADAR_HUMAN_CONFIRM,人工确认推送,总分达到提醒阈值,source evidence + onchain window + leader score + risk flags,"email/telegram alert, review checklist, postmortem id",total_radar_score,样本库足够大之前，不自动买入,alert_only
PLATFORM_PLAT_FOURMEME,Four.meme,"new token creation, pool formation, early buys, creator wallet, first liquidity, migration/launch status","new launches, pool creation, creator/deployer, liquidity, first buyers","platform_event_id, platform_time_utc, candidate_token_batch","platform_priority,launch_quality_score","copycat clusters, thin liquidity, fake narratives",platform_watch
PLATFORM_PLAT_PANCAKE_SPRINGBOARD,PancakeSwap SpringBoard,"new SpringBoard launches, first liquidity on PancakeSwap, BNB Chain meme/token waves","new launches, pool creation, creator/deployer, liquidity, first buyers","platform_event_id, platform_time_utc, candidate_token_batch","platform_priority,launch_quality_score",official docs and launch pages must be verified before scoring,platform_watch
PLATFORM_PLAT_PINKSALE,PinkSale,"presales, fair launches, trending pools, deployer repetition, KYC/audit labels","new launches, pool creation, creator/deployer, liquidity, first buyers","platform_event_id, platform_time_utc, candidate_token_batch","platform_priority,launch_quality_score","paid launches, promotional noise, launchpad labels can overstate quality",platform_watch
PLATFORM_PLAT_GEMPAD,GemPad,"new launches, launch calendar, deployer/project repetition, liquidity lock terms","new launches, pool creation, creator/deployer, liquidity, first buyers","platform_event_id, platform_time_utc, candidate_token_batch","platform_priority,launch_quality_score","multi-chain noise, low-quality campaigns",platform_watch
PLATFORM_PLAT_DXSALE,DxSale,"new sales, liquidity locks, recurring deployers, first trading pool","new launches, pool creation, creator/deployer, liquidity, first buyers","platform_event_id, platform_time_utc, candidate_token_batch","platform_priority,launch_quality_score","older launchpad noise, weak narrative link without source confirmation",platform_watch
